index,id,claim
1,1395,Donald Trump tried to steal the 2020 election.
2,1582,Walker is among Trump supporters who continue to repeat the president's false claim that the 2020 election was stolen from him through fraud.
3,1608,Former president Donald Trumps false claims that the 2020 election was stolen have stoked discontent among many Americans and driven the Republican party to impose the changes.
4,1777,Herschel Walker supported and parroted Trumps unfounded claims that the 2020 election was 'stolen'.
5,1811,The election was rigged and stolen from him.
6,1815,The 2020 election was not stolen and Trumps Big Lie is just that -- a lie.
7,1958,There is evidence of widespread fraud in the 2020 election.
8,1991,The election was a fraud.
9,2019,The 2020 US presidential election was stolen from him by fraud.
10,2065,The election had been stolen.
11,2351,the big lie that the election was stolen
12,3268,The 2020 presidential election was stolen.
13,3291,Massive election fraud deprived Donald Trump of re-election.
14,3297,The US election was rigged and stolen.
15,3380,The 2020 election was stolen.
16,3739,Former President Donald Trump made false claims of a stolen election.
17,3819,"There's this feeling that this election was stolen, that it's not fair, that there's all kinds of fraud."
18,3898,The election was stolen.
19,3912,"The 2020 election was ""stolen"" in favor of President Joe Biden."
20,3948,The 2020 Presidential Election was fraudulent.
21,3998,Donald Trump falsely claimed that the 2020 election was fraudulent.
22,4046,"The 2020 election was ""rigged"" or ""stolen"" in favor of President Joe Biden."
23,4099,"Former President Donald Trump made false claims of a ""stolen"" election."
24,4100,The 2020 election was stolen from former President Donald Trump.
25,4102,Former President Donald Trump made a claim that the 2020 election was stolen.
26,4240,The former President Donald Trump made false claims that his November 2020 election defeat was the result of widespread fraud.
27,4273,President Donald Trump encouraged his supporters to stop the steal with false claims of electoral fraud in the 2020 presidential elections.
28,4276,The 2020 presidential election was stolen from Donald Trump.
29,4279,The 2020 election for the president of the United States was stolen from us by cheating.
30,4329,The 2020 election was stolen or tainted by fraud.
31,4769,"Trump continues to baselessly claim that the 2020 election was ""rigged"" or ""stolen"" in favor of Biden."
32,4777,The last election was stolen.
33,4788,"The 2020 U.S. election was ""stolen""."
34,4834,Donald Trump claimed that the 2020 presidential election was stolen from him.
35,4842,The election of 2020 was stolen.
36,5024,The 2020 election was stolen by Democrats.
37,5026,Former President Donald Trump claimed that the 2020 presidential election was stolen.
38,5080,Melania Trump backed her husband's claims that the 2020 election had been stolen from him
39,5137,Former President Donald Trump made a stolen election claim.
40,5179,Former President Donald Trump claimed that the 2020 election was stolen from him.
41,5236,The 2020 election was fraudulent and Trump actually won.
42,5247,The 2020 election was stolen from Donald Trump.
43,5293,"The 2020 election was ""stolen."""
44,5345,The false claim that the 2020 election was stolen from Donald Trump.
45,5359,The 2020 election was rigged against Donald Trump.
46,5414,election fraud was why Trump lost the election
47,5437,Biden stole the election from him
48,5477,The 2021 recall election was fraudulent.
49,5710,The 2020 election had been stolen from him.
50,5987,The rioters believed false claims from former President Donald Trump that the 2020 election was stolen.
51,6020,Trump's baseless allegations of voter fraud in the 2020 election
52,6151,Former President Donald Trump claimed that the presidential election was stolen.
53,6476,The 2020 election had been stolen through voter fraud.
54,6577,The 2020 presidential election was rife with fraud.
55,6670,The 2020 election was stolen
56,6682,The fraud in the 2020 election was massive.
57,6690,Former President Donald Trump promoted the notion of massive election fraud after losing to Joe Biden in the 2020 election.
58,6805,The election was stolen from Trump.
59,6996,The election was stolen from him.
60,7013,The election was stolen from him
61,7203,Donald Trump claimed that the 2020 election was stolen.
62,7206,The election was stolen from him through massive fraud.
63,7300,Donald Trump claimed that the 2020 election was stolen from him.
64,7306,The 2020 presidential election was stolen from him.
65,7356,The 2020 election was stolen from Donald Trump and Joe Biden is an illegitimate president.
66,7439,Donald Trump attempted to steal the 2020 presidential election.
67,7528,Donald Trump lost the 2020 election because of fraud.
68,7584,The 2020 election had been rigged.
69,7619,Donald Trump claimed that he lost the 2020 election because of fraud.
70,7781,The election was stolen from Donald Trump.
71,7802,Former President Donald Trump claimed that widespread fraud cost him the 2020 election.
72,7852,Former President Donald Trump really won the election that he lost decisively to President Joe Biden.
73,7942,The 2020 election was stolen from him.
74,7959,Former President Donald Trump claimed that there was widespread voter fraud in the 2020 presidential election.
75,8091,The presidential election was rigged and stolen from him.
76,8250,The presidential election was stolen from Donald Trump.
77,8296,The 2020 election was somehow stolen.
78,8381,"Trump won 3,251,997 votes to Bidens 5,244,886 in 2020"
79,8884,"The 2020 presidential election was ""rigged"" and ""stolen"" from Donald Trump."
80,8885,Trump maintains that he won the 2020 election despite failing to provide evidence of widespread voter fraud that could have changed the outcome.
81,8919,The election was stolen
82,8979,Former President Donald Trump was the victim of massive fraud in the 2020 presidential election.
83,9177,The 2020 election had been stolen.
84,9261,Donald Trump claimed that there was widespread fraud in the 2020 election.
85,9339,The 2020 presidential election was fraudulent and somehow stolen from Donald Trump.
86,9383,The 2020 election was stolen from the former president.
87,9768,The candidates endorsed by Donald Trump have said that the 2020 election results were stolen or need to be further investigated.
88,9769,Donald Trump's grip on the base of the Republican party may lead to the election of people who believe the 2020 election was stolen from him.
89,10333,"The election was ""stolen"" from him."
90,10334,Widespread voter fraud led to his defeat in the 2020 presidential election.
91,10558,Trump actively pushed false claims that the presidential election was stolen during this time period.
92,10569,The election had been stolen from him.
93,10615,The results of the 2020 presidential election in Arizona were tainted by widespread fraud.
94,10632,The 2020 election was rigged or stolen in favor of Biden.
95,10697,The 2020 election was riddled with fraud.
96,10776,The election was stolen or corrupt.
97,11004,The 2000 and 2004 elections were stolen
98,11088,The 2020 election was stolen from Trump.
99,11289,The 2020 election was rigged or stolen in favor of President Joe Biden.
100,11298,The election was effectively stolen.
101,11333,The US election had been stolen
102,11350,"The 2020 presidential election was ""rigged"" and ""Stolen"" from him."
103,11355,The 2020 election was stolen because states did not follow their state-passed laws that govern the election for president.
104,11396,"The 2020 presidential election was ""stolen"" from Donald Trump."
105,11398,The election was stolen from me because of widespread voter fraud.
106,11439,The 2020 election was illegally rigged and stolen from Donald Trump because of widespread voter fraud.
107,11604,The election was stolen from me in 2020.
108,11633,The false claims that there was widespread fraud in the 2020 election.
109,11680,"The 2020 Election was a fraud rife with errors, irregularities, and scandal."
110,11769,The 2020 presidential election was stolen and rigged against Donald Trump.
111,11825,The 2020 presidential election was stolen from Donald Trump
112,11899,The 2020 presidential election was rigged and stolen.
113,12451,The presidential election had been stolen
114,12710,Donald Trump claimed that the 2020 presidential election results were fraudulent.
115,12797,Trump deliberately undermined the 2020 election for months and whipped people into a frenzy over his claims of a 'stolen' or 'rigged' election.
116,12855,The 2020 presidential election was stolen from me.
117,12861,A stolen 2020 presidential election
118,13145,Former President Donald Trump and some of his key allies spread election fraud rumours and misinformation around the 2020 US election.
119,13201,The presidential election had been stolen.
120,13221,The 2020 U.S. presidential election was rigged due to widespread voter fraud.
121,13264,The 2020 presidential election was stolen from Trump through widespread voter fraud.
122,13296,The election was rigged and stolen.
123,13386,The election was being stolen.
124,13514,The 2020 election results were fraudulent.
125,13616,The 2020 election was fraudulent.
126,13835,A fair election had been stolen
127,14085,Trump told these people that the election was stolen.
128,14311,President Donald Trump claimed that there was election fraud.
129,15103,"The stewing of doubt about election veracity, principally among Republicans and usually without proof, has exploded nationwide since then-President Donald Trump lost his reelection bid and began propagating falsehoods the 2020 presidential election was stolen."
130,15239,There was widespread voter fraud in the 2020 presidential election.
131,15247,Mr Trumps claims to be the victim of a stolen election
132,15420,Look at President Trump's stolen election in 2020
133,15433,The 2020 election was basically stolen from Donald Trump because the FBI interfered in the election.
134,15880,"The 2020 presidential election was ""rigged and stolen"" from him"
135,15966,"Biden did not win this election, and we are working hard alongside the Trump Campaign to uncover the fraud."
136,16305,Widespread voter fraud in the usually red state led to Donald Trump's defeat in the 2020 election.
137,16434,The 2020 Presidential election was stolen
138,16585,Trump posted about supposed election fraud in the 2020 election.
139,16586,The 2020 presidential election was rigged against former President Donald Trump and there were election fraud conspiracy theories.
140,16604,The 2020 election had been stolen
141,16660,The presidential election was stolen from me.
142,16719,The 2020 election was stolen from me.
143,16806,The 2020 presidential election was stolen by the Democratic Party.
144,16815,Donald Trump claimed that there was widespread voter fraud in the 2020 election.
145,17033,Democrats stole the 2020 election from Trump
146,17090,The 2020 presidential election was stolen from Donald Trump through fraud.
147,17240,The 2020 election was somehow stolen by Joe Biden.
148,17256,Trump will claim the election was stolen.
149,17649,The 2020 presidential election was stolen from former President Donald Trump.
150,17800,Donald Trump claimed that the 2020 election was rigged.
151,18124,The 2020 presidential election was stolen from Republicans.
152,19337,Former President Donald Trump claimed that the 2020 election results were fraudulent.
153,19725,The 2020 presidential election was rigged
154,19976,The election had been stolen
155,20140,Donald Trump claimed that the 2020 election was rigged and that his defeat was due to fraudulent results.
156,20263,"Donald Trump repeatedly lied about election fraud, claiming that the election had been stolen from him."
157,20423,The company helped steal the 2020 election from Donald Trump.
158,20437,Donald Trump claimed that the 2020 election results were fraudulent.
159,20553,There was widespread voter fraud in the 2020 presidential election in Georgia.
160,20639,The election had been stolen through fraud.
161,20690,There was widespread voter fraud in the 2020 election.
162,20700,The 2020 election was affected by fraud.
163,20701,Former President Donald Trump claimed that the 2020 election was fraudulent.
164,20713,The election wasn't stolen and many fraud claims were bogus.
165,20724,Donald Trump claimed that the election was stolen.
166,20728,Donald Trump claimed that the 2020 election was affected by fraud.
167,20777,"Former President Donald Trump knew there was no widespread election fraud but continued to fundraise based on the idea of a ""stolen"" election."
168,20817,This election was a fraud.
169,20845,There was massive fraud in the 2020 presidential election.
170,20864,There had been massive fraud in the 2020 U.S. presidential election.
171,20872,Donald Trump claimed that there was widespread election fraud.
172,20878,There was widespread fraud in the Georgia 2020 presidential election.
173,20892,Donald Trump claimed that there was election fraud after his 2020 defeat.
174,20904,The election had been stolen from him
175,21064,His 2020 election defeat was the result of electoral fraud.
176,21372,Claims of a stolen 2020 election were nonsense.
177,21629,There was widespread fraud in the 2020 election.
178,21850,The 2020 election was marred by widespread fraud.
179,21918,The 2020 presidential election was rigged against Donald Trump.
180,22056,The 2020 election was stolen from then-President Donald Trump.
181,22076,The election was not stolen
182,22254,The claimant stated that the election was stolen.
183,22325,The 2020 presidential election was stolen through fraud.
184,22350,The 2020 presidential election was stolen by Democrats through widespread voter fraud.
185,22392,The election was stolen from me due to widespread voter fraud.
186,22617,The election in 2020 was stolen from former President Donald J. Trump.
187,22771,The 2020 US election was stolen.
188,22835,The 2020 presidential election was affected by fraud.
189,22880,The 2020 presidential election was stolen from President Donald Trump.
190,23061,The 2020 election was stolen from him
191,23100,The 2020 presidential election was rigged and stolen from Donald Trump.
192,23102,The 2020 election was stolen due to hacked Dominion ballot tabulators.
193,23142,The election was stolen from me due to voter fraud.
194,23143,"The 2020 presidential election was ""stolen."""
195,23251,The 2020 presidential election was stolen from Trump.
196,23533,The presidency was stolen from Donald Trump.
197,23908,Donald Trump baselessly alleged voter fraud after losing the 2020 election and has maintained that view.
198,24274,The 2020 election was rigged because of widespread voter fraud.
199,24482,The 2020 presidential election had been rigged and stolen
200,24585,Donald Trump claimed that victory in the 2020 election had been stolen from him because of fraud.
201,24659,The election was stolen from former President Donald Trump.
202,24689,The election was stolen from Mr. Trump.
203,24700,The myth propagated by Donald Trump that the 2020 election was stolen.
204,24762,The election was stolen and Trump won by a landslide.
205,24789,Donald Trump claimed that the 2020 election was fraudulent.
206,24816,The Trump campaign had evidence the election was stolen.
207,24847,We know the election was stolen.
208,24855,His 2020 defeat by Joe Biden was the result of electoral fraud.
209,24863,The election was stolen from President Trump and we can prove that.
210,25248,Former President Trump claimed that there was election fraud in the 2020 election.
211,25350,An election was stolen.
212,25458,The election was stolen from Donald Trump via two nasty corporations.
213,25543,Donald Trump stole a 2016 election
214,25912,Trump repeatedly made false claims about widespread voter fraud in the 2020 presidential election
215,26441,The 2020 presidential elections were stolen from Donald Trump.
216,26489,Trump was cheated in the 2020 election
217,26548,"The former president still maintains that the 2020 election was ""stolen"""
218,26706,"The 2020 presidential election had been stolen from me and with it, the heart of our country."
219,27199,The 2020 election was stolen from former President Trump and was a grave betrayal of American democracy.
220,28608,The election was being stolen from him.
221,28625,The election had been stolen from Trump
222,28687,Former President Donald Trump claimed that the election was stolen from him.
223,28912,Trump claimed that the election was stolen.
224,29079,The 2020 presidential election was fraudulently stolen from Donald Trump.
225,29130,The 2020 presidential election won by President Joe Biden was stolen or rigged.
226,29145,Donald Trump falsely claims that his 2020 election defeat was the result of widespread fraud.
227,30160,The 2020 election was stolen via widespread election fraud.
228,30950,Donald Trump claimed that there was voter fraud in the 2020 election.
229,31004,The 2020 election had been stolen from him by the Democratic Party through the use of fake ballots and voter fraud.
230,31728,Trump did go to extraordinary lengths to try and steal the 2020 election
231,32891,Donald Trump supports stealing the 2020 election results and handing the electoral votes to the loser.
232,33249,Donald Trump claimed that there was election fraud in his 2020 defeat by Joe Biden.
233,33328,Trump falsely claimed that the election had been stolen and has persisted in those accusations to this day.
234,34086,Donald Trump stole the 2016 election by fraudulent schemes
235,34100,Former President Donald J. Trump made a claim that the 2020 election was stolen from him.
236,34857,Former President Donald Trump and his allies amplify baseless allegations blaming election fraud for his 2020 loss.
237,35673,Democrats stole the 2020 presidential election from Trump
238,35983,"The election had been ""stolen"" from him."
239,36157,The companys voting machines stole the 2020 presidential election from Donald Trump.
240,36353,The election was being stolen without directly saying so
241,36384,The 2020 US presidential election was stolen from Donald Trump.
242,36669,Donald Trump's campaign and allies raised $250m from their baseless claims that the 2020 presidential election was stolen from him.
243,36724,The 2020 presidential election had been stolen.
244,36840,The 2020 presidential election was stolen due to widespread voter fraud.
245,36970,The election of 2020 was rigged and stolen
246,37139,Former President Donald Trump claimed that the 2020 election was stolen.
247,37149,The line was crossed during the 2020 election when Trump said it was stolen.
248,37218,The 2020 election was rigged against then-President Donald Trump.
249,37340,The 2020 US presidential election was fraudulently stolen from Mr Trump.
250,37344,The former president claims that the 2020 election was stolen and rigged.
251,37439,The 2020 election was being stolen.
